Question	Rationale	Label
The boys were racing their cars in the soapbox derby and found that the cars that _____ moved faster. (A) weighed more (B) weighed less	When something is lighter, it is easier to move faster. Thus, the cars that weighed less moved faster.	(B)
The boys were racing their cars in the soapbox derby and found that the cars that _____ moved faster. (A) weighed more (B) weighed less	When something weighs less, it is easier to move. Thus, the cars that weighed less moved faster.	(B)
The boys were racing their cars in the soapbox derby and found that the cars that _____ moved faster. (A) weighed more (B) weighed less	When something weighs less, it is easier to move. Thus, the cars that weighed less moved faster.	(B)
The boys were racing their cars in the soapbox derby and found that the cars that _____ moved faster. (A) weighed more (B) weighed less	When something is lighter, it is easier to move. Thus, the cars that weighed less moved faster.	(B)
The boys were racing their cars in the soapbox derby and found that the cars that _____ moved faster. (A) weighed more (B) weighed less	When something has less weight, it is easier to move faster. Thus, the cars that weighed less moved faster.	(B)
A police officer generates more heat sliding into an alleyway then sliding into a sidewalk. This means the _____ has more friction (A) alleyway (B) sidewalk	Friction is generated when two surfaces move against each other. When there is more friction, more heat is generated. Thus, the alleyway has more friction.	(A)
A police officer generates more heat sliding into an alleyway then sliding into a sidewalk. This means the _____ has more friction (A) alleyway (B) sidewalk	When something has more friction, it generates more heat. Thus, the alleyway has more friction.	(A)
A police officer generates more heat sliding into an alleyway then sliding into a sidewalk. This means the _____ has more friction (A) alleyway (B) sidewalk	When something has more friction, it will generate more heat. Thus, the alleyway has more friction, and thus generated more heat.	(A)
A police officer generates more heat sliding into an alleyway then sliding into a sidewalk. This means the _____ has more friction (A) alleyway (B) sidewalk	When something has more friction, it generates more heat. Thus, the alleyway has more friction.	(A)
A police officer generates more heat sliding into an alleyway then sliding into a sidewalk. This means the _____ has more friction (A) alleyway (B) sidewalk	When something has more friction, it generates more heat. Thus, the alleyway has more friction.	(A)
When the stop sign was far away it looked very small but as Jack got closer it seemed (A) even smaller (B) bigger	When something is closer, it looks bigger. Thus, it seemed bigger as Jack got closer.	(B)
When the stop sign was far away it looked very small but as Jack got closer it seemed (A) even smaller (B) bigger	When something is closer, it looks bigger. Thus, the stop sign seemed bigger when Jack got closer.	(B)
When the stop sign was far away it looked very small but as Jack got closer it seemed (A) even smaller (B) bigger	When something is closer, it looks bigger. Thus, the stop sign seemed bigger as Jack got closer.	(B)
When the stop sign was far away it looked very small but as Jack got closer it seemed (A) even smaller (B) bigger	When something is closer, it looks bigger. Thus, the stop sign seemed bigger when he got closer.	(B)
When the stop sign was far away it looked very small but as Jack got closer it seemed (A) even smaller (B) bigger	When something is closer, it looks bigger. Thus, the stop sign seemed bigger when Jack got closer.	(B)
Alice is playing ball with her young sister. One of them is having trouble throwing the ball far enough to be caught. Which person is likely to have a harder time? (A) Alice (B) Little Sister	When someone is younger, they are likely to have a harder time. Thus, the little sister is likely to have a harder time.	(B)
Alice is playing ball with her young sister. One of them is having trouble throwing the ball far enough to be caught. Which person is likely to have a harder time? (A) Alice (B) Little Sister	When something is farther away, it is harder to throw. Thus, little sister is likely to have a harder time throwing the ball because she is farther away.	(B)
A hen is faster then a duck. This means that the _____ will travel a greater distance if they both run for the same amount of time (A) hen (B) duck	When something is faster, it can travel a greater distance. Thus, the hen will travel a greater distance if they both run for the same amount of time.	(A)
A hen is faster then a duck. This means that the _____ will travel a greater distance if they both run for the same amount of time (A) hen (B) duck	The hen is faster than the duck, so the hen will travel a greater distance if they both run for the same amount of time.	(A)
A hen is faster then a duck. This means that the _____ will travel a greater distance if they both run for the same amount of time (A) hen (B) duck	The hen is faster than the duck which means it can travel a greater distance for the same amount of time. Thus, the hen will travel a greater distance if they both run for the same amount of time.	(A)
A hen is faster then a duck. This means that the _____ will travel a greater distance if they both run for the same amount of time (A) hen (B) duck	When something is faster, it can travel a greater distance. Thus, the hen will travel a greater distance if they both run for the same amount of time.	(A)
A hen is faster then a duck. This means that the _____ will travel a greater distance if they both run for the same amount of time (A) hen (B) duck	When something is faster, it can travel a greater distance. Thus, the hen will travel a greater distance if they both run for the same amount of time.	(A)
Santana is singing as she walks down the road. As Santana walks passed a restaurant, the people in there can hear her loudly. As Santana walks away singing, her voice gets (A) louder (B) softer	When something is farther away, it gets softer. Thus, as Santana walks away her voice gets softer.	(B)
Santana is singing as she walks down the road. As Santana walks passed a restaurant, the people in there can hear her loudly. As Santana walks away singing, her voice gets (A) louder (B) softer	When something is further away, it is harder to hear. Thus, Santana's voice gets softer as she walks away.	(B)
Santana is singing as she walks down the road. As Santana walks passed a restaurant, the people in there can hear her loudly. As Santana walks away singing, her voice gets (A) louder (B) softer	When something is farther away, it is harder to hear. Thus, her voice gets softer as she walks away.	(B)
Santana is singing as she walks down the road. As Santana walks passed a restaurant, the people in there can hear her loudly. As Santana walks away singing, her voice gets (A) louder (B) softer	Sounds get softer as you move further away. Thus, her voice gets softer as she walks away.	(B)
Santana is singing as she walks down the road. As Santana walks passed a restaurant, the people in there can hear her loudly. As Santana walks away singing, her voice gets (A) louder (B) softer	When something is farther away, it is softer. Thus, as Santana walked away, her voice got softer.	(B)
When Bill was driving his truck with his trailer he noticed that it was much slower than without the trailer this is because it was (A) heavier (B) lighter	When something is heavier, it is harder to move. Thus, the truck was much slower with the trailer because of its added weight.	(A)
When Bill was driving his truck with his trailer he noticed that it was much slower than without the trailer this is because it was (A) heavier (B) lighter	When something is heavier, it requires more effort to move it. Thus, it was slower with the trailer because it was heavier.	(A)
When Bill was driving his truck with his trailer he noticed that it was much slower than without the trailer this is because it was (A) heavier (B) lighter	When something is heavier, it is harder to move. Thus, it was slower because it was heavier with the trailer.	(A)
When Bill was driving his truck with his trailer he noticed that it was much slower than without the trailer this is because it was (A) heavier (B) lighter	When something is heavier, it is more difficult to move and so it is slower. Thus, it was slower because it was heavier.	(A)
When Bill was driving his truck with his trailer he noticed that it was much slower than without the trailer this is because it was (A) heavier (B) lighter	When something is heavier, it is harder to move and thus will go slower. Thus, it was slower because it was heavier.	(A)
Tim threw a pebble down the mountain effortlessly, and it was out of site in seconds.  Bob rolled a boulder down the mountain, and after a minute of heaving, it finally descended, gaining speed as it went.  Which was heavier? (A) the boulder was heavier (B) the pebble was heavier	When something is heavier, it is harder to move. Bob had to work harder to push the boulder. Thus, the boulder was heavier.	(A)
Tim threw a pebble down the mountain effortlessly, and it was out of site in seconds.  Bob rolled a boulder down the mountain, and after a minute of heaving, it finally descended, gaining speed as it went.  Which was heavier? (A) the boulder was heavier (B) the pebble was heavier	When something is heavier, it is harder to move. Thus, the boulder was heavier because it was harder to move and required more effort.	(A)
Tim threw a pebble down the mountain effortlessly, and it was out of site in seconds.  Bob rolled a boulder down the mountain, and after a minute of heaving, it finally descended, gaining speed as it went.  Which was heavier? (A) the boulder was heavier (B) the pebble was heavier	When something is heavier, it is harder to move and takes more effort. Thus, the boulder was heavier because it took more effort and time to move it.	(A)
Tim threw a pebble down the mountain effortlessly, and it was out of site in seconds.  Bob rolled a boulder down the mountain, and after a minute of heaving, it finally descended, gaining speed as it went.  Which was heavier? (A) the boulder was heavier (B) the pebble was heavier	When something is heavier, it is harder to move. Thus, the boulder was heavier than the pebble.	(A)
