Question	Rationale	Label
Can I build a house on an asteroid?	Building a house on an asteroid is impossible as of now due to the lack of technologies and resources needed. It would be extremely difficult to build a house that could withstand the extreme temperatures, radiation, and extreme gravitational pull.	no
Can I build a house on an asteroid?	Building a house on an asteroid would be extremely difficult due to the lack of atmosphere, oxygen, and other resources needed for construction.	no
Can I build a house on an asteroid?	Building a house on an asteroid would be extremely difficult, as asteroids are often rocky and unstable. Additionally, the environment on an asteroid is vastly different than that of Earth, and it would not be suitable to live in.	no
Can I build a house on an asteroid?	It is not possible to build a house on an asteroid due to the absence of an atmosphere and the difficult working conditions presented by a vacuum.	no
Is November a bad time for a photographer to take pictures of a plum tree in bloom?	Plum trees typically bloom during the months of April and May. November is towards the end of autumn, when most flowers have died off.	yes
Is Linus Torvalds' wife unable to physically defend herself?	Linus Torvalds' wife is Tove Torvalds. While there is not public information available about Tove's physical abilities, it is presumed that she could defend herself in some capacity.	no
Is Linus Torvalds' wife unable to physically defend herself?	Linus Torvalds is married to Tove Torvalds, a Finnish politician. She is also a three-time national karate champion, and a highly trained martial artist.	no
Is Linus Torvalds' wife unable to physically defend herself?	Linus Torvalds' wife, Tove Torvalds, is a trained martial artist.	no
Is Central Park Zoo located on an island?	Central Park Zoo is located in Manhattan, New York City. Manhattan is an island bordered by the Hudson and East Rivers.	yes
Is Central Park Zoo located on an island?	Central Park Zoo is located in the center of Central Park in Manhattan, NYC. Manhattan is an island located in the Hudson River.	yes
Does Fraktur have a sordid history?	Fraktur is a German script that was used by German-speaking countries such as Austria and Germany. It was used to enforce a national culture, and was often associated with Nazi ideology.	yes
Does Fraktur have a sordid history?	Fraktur is a type of calligraphy and font, originating from the early 16th century. It is used in German and Scandinavian writing and has been associated with anti-Semitic and nationalist movements.	yes
Does Fraktur have a sordid history?	Fraktur is a style of calligraphy which originated in Germany in the 16th century. It was used for official documents and became associated with political movements such as Nazism.	yes
Does Fraktur have a sordid history?	Fraktur is a type of German script from the 16th century. It was heavily used by printers to create religious texts and artwork. It was eventually associated with Nazi propaganda and was banned by the Nazis as it was viewed as a reminder of pre-Nazi Germany.	yes
Does Fraktur have a sordid history?	Fraktur is a type of German calligraphy traditionally used for birth and marriage certificates and certificates of baptism. During World War II, Nazi Germany used Fraktur for propaganda posters.	yes
Would Glen Beck and Stephen Colbert be likely to tour together?	Stephen Colbert is a political satirist and Glen Beck is a conservative political commentator, so it is unlikely they would tour together.	no
Would Glen Beck and Stephen Colbert be likely to tour together?	Glen Beck is a conservative political commentator, while Stephen Colbert is a progressive political satirist. They are not likely to tour together due to their political views.	no
Would Glen Beck and Stephen Colbert be likely to tour together?	Glen Beck and Stephen Colbert have vastly different political views and opinions. It is highly unlikely that they would tour together.	no
Would Glen Beck and Stephen Colbert be likely to tour together?	Glen Beck and Stephen Colbert have very different political views and comedic styles, which could mean they may not be inclined to tour together.	no
Would Glen Beck and Stephen Colbert be likely to tour together?	Glen Beck is a conservative political commentator, while Stephen Colbert is a liberal political satirist. They have very different ideological positions, so they are unlikely to tour together.	no
Was John Lennon known to be a good friend to Sasha Obama?	John Lennon was a singer/songwriter and peace activist who was active during the 1960's and 1970's. John Lennon died in 1980. Sasha Obama is the youngest daughter of the 44th US President Barack Obama. Sasha Obama was born in 2001.	no
Was John Lennon known to be a good friend to Sasha Obama?	John Lennon died in 1980 and Sasha Obama was born in 2001, so it is not possible for them to have been friends.	no
Was John Lennon known to be a good friend to Sasha Obama?	John Lennon was a famous musician who passed away in 1980, while Sasha Obama is the daughter of former President Obama and was born in 2001. Since they did not know each other, it is safe to say the answer is no.	no
Was John Lennon known to be a good friend to Sasha Obama?	John Lennon was most known for being a singer, songwriter and co-founder of the Beatles. His relationship with Sasha Obama is not known.	no
Was John Lennon known to be a good friend to Sasha Obama?	John Lennon was a singer-songwriter who died in 1980. Sasha Obama is the daughter of former President Barack Obama, who was born in 2001.	no
Is breast cancer associated with a ribbon?	Breast cancer is often associated with the symbol of a pink ribbon.	yes
Is breast cancer associated with a ribbon?	Breast cancer awareness is usually represented by a pink ribbon. This ribbon is used to symbolize hope and show support for those who are fighting breast cancer.	yes
Is breast cancer associated with a ribbon?	The pink ribbon is a symbol for breast cancer awareness, and is commonly associated with it.	yes
Is breast cancer associated with a ribbon?	Breast cancer awareness is associated with many colors, but the most common is a pink ribbon.	yes
Is breast cancer associated with a ribbon?	The pink ribbon is an internationally recognized symbol for breast cancer awareness, so yes, breast cancer is associated with a ribbon.	yes
Do black swan cygnets typically know both of their genetic parents?	Black swans are a species of waterfowl and typically form long-term pair bonds with one mate. The cygnets (young) will only know one of its parents, as the other is usually not around.	no
Do black swan cygnets typically know both of their genetic parents?	Black swan cygnets typically only know their mother, as they are raised solely by her.	no
Did the 23rd amendment give Puerto Ricans the right to vote for president?	The 23rd Amendment to the US Constitution was ratified in 1961 and gave residents of the District of Columbia the right to vote for president. Puerto Ricans are citizens of the United States but do not have the right to vote for president.	no
Did the 23rd amendment give Puerto Ricans the right to vote for president?	The 23rd amendment gave citizens of the District of Columbia the right to vote for president. Puerto Ricans are citizens of a U.S. territory and are not given the right to vote in presidential elections.	no
Did the 23rd amendment give Puerto Ricans the right to vote for president?	The 23rd Amendment of the United States Constitution was ratified in 1961 and states that citizens of Washington D.C. are able to vote in presidential elections. Puerto Ricans are citizens of Puerto Rico, not Washington D.C., and were not given the right to vote for president with the 23rd Amendment.	no
